Character;EXT;NEU;AGR;CON;OPN;EXT_MEAN;NEU_MEAN;AGR_MEAN;CON_MEAN;OPN_MEAN;Type
parvati;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
teacher;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
fred & george;0.6666666666666666;1.0;0.3333333333333333;0.0;1.0;0;1;0;0;1;OPN
madam rosmerta;0.75;1.0;0.25;0.16666666666666666;1.0;0;1;0;0;1;OPN
shrunken head 1;1.0;1.0;0.0;0.0;1.0;1;1;0;0;1;OPN
shrunken head 2;1.0;1.0;0.0;0.5;1.0;1;1;0;0;1;OPN
goyle;1.0;1.0;0.3333333333333333;0.0;1.0;1;1;0;0;1;OPN
sirius;0.8840579710144928;0.8840579710144928;0.43478260869565216;0.2028985507246377;1.0;0;0;0;0;1;OPN
pettigrew;0.9444444444444444;0.9444444444444444;0.3333333333333333;0.16666666666666666;1.0;0;0;0;0;1;OPN
boy 1;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;OPN
